worker_id,session_id,connected_at,disconnected_at,uptime_seconds,total_tasks_done,total_points
2aaf67e9,2a00863c-9406-4b45-9ad6-ef4d66497e35,1775498610.9128222,1775498622.7803037,11.867481470108032,0,0
a7bb5db4,d42e3caf-08d3-420b-bf27-5688426c6caf,1775499241.7964387,1775499611.2674596,369.47102093696594,2,2703.8982
f4278b58,aa482759-f853-4947-928f-c685a4d91fb2,1775499281.812019,1775501559.7310143,2277.918995141983,3,1873.0152
