timestamp,worker_id,session_id,task_id,task_type,benchmark_score,start_time,end_time,time_taken,points_earned,status,progress_last_seen,error_message
1775531758.5847304,04cb6087,8a7389ad-ff5a-4ed5-82d9-19df261fa0f5,f3ee809f,sort_arrays,83095,1775531757.7295494,1775531758.5847347,0.83,689.6884999999999,completed,100,
1775531760.7816484,04cb6087,8a7389ad-ff5a-4ed5-82d9-19df261fa0f5,e79256d2,sort_arrays,83095,1775531759.800079,1775531760.78166,0.88,731.2360000000001,completed,100,
1775531762.357389,afd32763,730b78e7-ac01-4182-a4d1-c55cb4fd7631,f3c8e871,matrix_multiplication,111406,1775531757.6339054,1775531762.357396,4.72,5258.3632,completed,100,
1775531762.7476206,04cb6087,8a7389ad-ff5a-4ed5-82d9-19df261fa0f5,1b0f9722,sort_arrays,83095,1775531761.9197161,1775531762.7476277,0.8,664.76,completed,100,
1775531763.5596917,afd32763,730b78e7-ac01-4182-a4d1-c55cb4fd7631,43ded716,prime_number,111406,1775531763.3648095,1775531763.559715,0.19,211.6714,completed,100,
1775533384.6753957,5bd4fa0f,23c356a1-5a2a-4e31-9c75-ae1ed55c3cc0,cbe70872,matrix_multiplication,88441,1775533381.3675673,1775533384.6754088,3.29,2909.7089,completed,100,
1775533385.9745095,5bd4fa0f,23c356a1-5a2a-4e31-9c75-ae1ed55c3cc0,00f262bc,prime_number,88441,1775533385.699436,1775533385.974516,0.24,212.2584,completed,100,
1775533387.4462922,5bd4fa0f,23c356a1-5a2a-4e31-9c75-ae1ed55c3cc0,cfd93513,prime_number,88441,1775533387.024977,1775533387.446299,0.41,362.6081,completed,100,
1775533389.3373792,5bd4fa0f,23c356a1-5a2a-4e31-9c75-ae1ed55c3cc0,1d990e1b,sort_arrays,88441,1775533388.460127,1775533389.3373914,0.87,769.4367,completed,100,
1775533391.3896117,5bd4fa0f,23c356a1-5a2a-4e31-9c75-ae1ed55c3cc0,f5179940,sort_arrays,88441,1775533390.3605373,1775533391.3896217,1.01,893.2541,completed,100,
1775533407.9929976,5bd4fa0f,23c356a1-5a2a-4e31-9c75-ae1ed55c3cc0,caa67bd0,hash_workload,88441,1775533407.047087,1775533407.993007,0.91,804.8131,completed,100,
1775533408.085084,6bb2a236,9df6cbe1-efe2-489f-9044-456bdca8caad,3530c9c9,prime_number,129619,1775533407.879255,1775533408.0850906,0.2,259.23800000000006,completed,100,
1775533409.3219676,6bb2a236,9df6cbe1-efe2-489f-9044-456bdca8caad,f7eeef3e,prime_number,129619,1775533409.0915647,1775533409.3219748,0.22,285.1618,completed,100,
1775533409.6576087,5bd4fa0f,23c356a1-5a2a-4e31-9c75-ae1ed55c3cc0,5192a076,hash_workload,88441,1775533409.0537205,1775533409.6576142,0.59,521.8018999999999,completed,100,
1775533411.7882717,6bb2a236,9df6cbe1-efe2-489f-9044-456bdca8caad,2040cb4e,sort_arrays,129619,1775533410.3431137,1775533411.7882788,1.44,1866.5135999999998,completed,100,
